upper_n,lower_n,A,f,source
3,1,1.320000e+08,6.750000e-02,NIST
5,1,5.320000e+08,2.629000e-01,NIST
15,1,2.625000e+07,1.190000e-02,NIST
16,1,4.526087e+07,1.202000e-01,NIST
17,1,3.130000e+08,1.060000e-01,NIST
6,2,1.890000e+07,1.420000e-01,NIST
7,2,2.078000e+07,7.908000e-01,NIST
8,2,2.611250e+06,3.137000e-02,NIST
9,2,6.400000e+06,2.790000e-02,NIST
18,2,6.830417e+05,8.570000e-03,NIST
19,2,1.383333e+05,7.710000e-04,NIST
25,2,5.625000e+04,5.100000e-04,NIST
31,2,1.716875e+05,1.383190e-03,Kimura
37,2,8.100000e+04,6.056062e-04,Kimura
45,2,5.395000e+04,3.701255e-04,Kimura
6,3,5.400000e+06,7.600000e-02,NIST
7,3,1.035000e+07,7.060000e-01,NIST
8,3,5.312500e+06,1.150000e-01,NIST
9,3,1.830000e+06,1.450000e-02,NIST
10,3,4.000000e+07,1.140000e-01,NIST
11,3,2.360000e+05,5.300000e-04,NIST
18,3,3.502083e+05,7.600000e-03,NIST
19,3,1.375000e+05,1.360000e-03,NIST
24,3,2.791667e+04,2.000000e-04,NIST
25,3,3.166667e+04,4.900000e-04,NIST
31,3,1.030125e+05,1.383190e-03,Kimura
37,3,4.860000e+04,6.056062e-04,Kimura
45,3,3.237000e+04,3.701255e-04,Kimura
6,4,9.800000e+05,4.800000e-02,NIST
7,4,3.645000e+05,8.200000e-02,NIST
8,4,6.975000e+06,5.300000e-01,NIST
9,4,1.170000e+07,3.140000e-01,NIST
18,4,1.125000e+04,8.300000e-04,NIST
19,4,2.750000e+05,8.700000e-03,NIST
25,4,8.750000e+03,4.500000e-04,NIST
30,4,4.952500e+04,1.022862e-03,Kimura
36,4,2.124250e+04,4.072071e-04,Kimura
44,4,4.807500e+04,8.447281e-04,Kimura
6,5,1.900000e+05,3.800000e-03,NIST
7,5,1.776500e+06,1.559000e-01,NIST
8,5,1.915000e+07,5.450000e-01,NIST
9,5,1.530000e+07,1.570000e-01,NIST
11,5,4.500000e+07,1.250000e-01,NIST
18,5,8.264583e+04,2.065000e-03,NIST
19,5,7.416667e+05,8.210000e-03,NIST
25,5,3.125000e+04,5.500000e-04,NIST
30,5,1.485750e+05,1.022862e-03,Kimura
36,5,6.372750e+04,4.072071e-04,Kimura
44,5,1.442250e+05,8.447281e-04,Kimura
12,6,6.088889e+06,4.510000e-01,NIST
15,6,2.135000e+06,3.640000e-02,NIST
16,6,1.383478e+06,1.802000e-01,NIST
20,6,5.861042e+05,6.358000e-02,NIST
21,6,3.452083e+05,1.471000e-02,NIST
26,6,2.875000e+05,9.290000e-03,NIST
27,6,4.010417e+05,3.001000e-02,NIST
33,6,1.685417e+05,1.077000e-02,NIST
39,6,1.286250e+05,1.414972e-03,Kimura
43,6,5.933750e+04,3.033683e-03,Kimura
47,6,8.382500e+04,8.063561e-04,Kimura
12,7,1.600000e+06,3.125000e-02,NIST
13,7,4.812500e+06,1.050000e-01,NIST
14,7,1.350000e+06,2.295000e-02,NIST
15,7,1.042500e+06,4.100000e-03,NIST
16,7,1.139809e+07,3.187500e-01,NIST
20,7,1.398750e+06,2.716950e-02,NIST
21,7,3.350417e+05,2.773500e-03,NIST
26,7,4.820833e+05,2.830000e-03,NIST
27,7,1.229583e+06,1.628150e-02,NIST
33,7,4.318750e+05,4.684000e-03,NIST
39,7,1.650000e+05,1.610000e-03,NIST
39,7,8.575000e+05,1.414972e-03,Kimura
43,7,3.955833e+05,3.033683e-03,Kimura
47,7,5.588333e+05,8.063561e-04,Kimura
12,8,2.166667e+05,1.562500e-02,NIST
14,8,1.064706e+07,5.993750e-01,NIST
15,8,1.067500e+07,1.373750e-01,NIST
17,8,4.500000e+06,3.712500e-02,NIST
20,8,1.083333e+05,7.250000e-03,NIST
21,8,6.441667e+05,1.527500e-02,NIST
26,8,7.050000e+05,1.186250e-02,NIST
27,8,3.750000e+04,1.562500e-03,NIST
32,8,1.971333e+06,1.327979e-02,Kimura
38,8,1.345600e+06,8.872726e-03,Kimura
42,8,8.140000e+04,8.099317e-04,Kimura
46,8,4.044667e+05,7.563592e-04,Kimura
12,9,9.666667e+04,2.400000e-02,NIST
14,9,1.823529e+06,2.900000e-01,NIST
15,9,1.275000e+06,4.700000e-02,NIST
17,9,7.100000e+06,1.700000e-01,NIST
20,9,2.500000e+04,4.900000e-03,NIST
21,9,1.700000e+05,1.090000e-02,NIST
26,9,1.875000e+05,8.900000e-03,NIST
32,9,7.392500e+05,1.327979e-02,Kimura
38,9,5.046000e+05,8.872726e-03,Kimura
42,9,3.052500e+04,8.099317e-04,Kimura
46,9,1.516750e+05,7.563592e-04,Kimura
16,10,7.304348e+05,5.100000e-01,NIST
39,10,4.287500e+04,1.414972e-03,Kimura
43,10,1.977917e+04,3.033683e-03,Kimura
47,10,2.794167e+04,8.063561e-04,Kimura
15,11,1.425000e+06,2.200000e-01,NIST
17,11,5.200000e+06,5.300000e-01,NIST
32,11,2.464167e+05,1.327979e-02,Kimura
38,11,1.682000e+05,8.872726e-03,Kimura
42,11,1.017500e+04,8.099317e-04,Kimura
46,11,5.055833e+04,7.563592e-04,Kimura
18,12,4.900500e+05,1.256254e-01,Kimura
22,12,3.950000e+05,2.033333e-02,NIST
25,12,1.319625e+05,7.971781e-03,Kimura
29,12,1.930725e+06,1.936741e-01,Kimura
31,12,5.649750e+04,2.177934e-03,Kimura
35,12,1.065600e+06,8.229673e-02,Kimura
37,12,2.882250e+04,8.990705e-04,Kimura
41,12,6.520500e+05,4.370750e-02,Kimura
45,12,1.688400e+04,4.195554e-04,Kimura
18,13,8.712000e+05,1.256254e-01,Kimura
25,13,2.346000e+05,7.971781e-03,Kimura
29,13,3.432400e+06,1.936741e-01,Kimura
31,13,1.004400e+05,2.177934e-03,Kimura
35,13,1.894400e+06,8.229673e-02,Kimura
37,13,5.124000e+04,8.990705e-04,Kimura
41,13,1.159200e+06,4.370750e-02,Kimura
45,13,3.001600e+04,4.195554e-04,Kimura
19,14,1.712750e+06,1.377462e-01,Kimura
24,14,4.495650e+05,7.857616e-03,Kimura
28,14,6.630000e+06,1.893860e-01,Kimura
30,14,1.988150e+05,2.170319e-03,Kimura
34,14,3.567450e+06,7.774621e-02,Kimura
36,14,1.026800e+05,9.034323e-04,Kimura
40,14,2.156450e+06,4.066608e-02,Kimura
44,14,7.329550e+04,5.101904e-04,Kimura
19,15,4.171000e+06,1.503172e+00,Kimura
24,15,3.974000e+05,3.025233e-02,Kimura
30,15,1.279000e+05,6.049713e-03,Kimura
36,15,4.951000e+04,1.883779e-03,Kimura
44,15,7.642000e+04,2.295898e-03,Kimura
18,16,4.850750e+06,1.714262e+00,Kimura
25,16,6.112375e+05,3.872007e-02,Kimura
29,16,3.217875e+06,1.936741e-01,Kimura
31,16,2.180625e+05,8.206800e-03,Kimura
35,16,1.776000e+06,8.229673e-02,Kimura
37,16,9.746750e+04,2.822371e-03,Kimura
41,16,1.086750e+06,4.370750e-02,Kimura
45,16,5.726000e+04,1.311973e-03,Kimura
19,17,3.022500e+05,1.377462e-01,Kimura
24,17,7.933500e+04,7.857616e-03,Kimura
28,17,1.170000e+06,1.893860e-01,Kimura
30,17,3.508500e+04,2.170319e-03,Kimura
34,17,6.295500e+05,7.774621e-02,Kimura
36,17,1.812000e+04,9.034323e-04,Kimura
40,17,3.805500e+05,4.066608e-02,Kimura
44,17,1.293450e+04,5.101904e-04,Kimura
20,18,6.686000e+06,1.454697e+00,Kimura
27,18,1.632770e+06,3.178205e-02,Kimura
33,18,9.376900e+05,1.411214e-02,Kimura
39,18,6.454000e+05,1.047313e-02,Kimura
43,18,4.757000e+04,1.692569e-03,Kimura
47,18,3.187000e+05,1.969276e-03,Kimura
21,19,6.768000e+06,1.485009e+00,Kimura
26,19,1.669100e+06,4.001002e-02,Kimura
32,19,1.024800e+06,1.988020e-02,Kimura
38,19,6.984000e+05,1.307179e-02,Kimura
42,19,4.179000e+03,1.498428e-04,Kimura
46,19,2.965000e+05,1.845317e-03,Kimura
23,20,2.496000e+03,6.196671e-03,Kimura
25,20,2.048100e+06,1.464912e+00,Kimura
29,20,1.631000e+06,2.941012e-01,Kimura
31,20,5.408000e+05,6.224436e-02,Kimura
35,20,1.250000e+06,1.158589e-01,Kimura
37,20,2.542200e+05,1.505488e-02,Kimura
41,20,6.533000e+05,4.427291e-02,Kimura
45,20,1.480200e+05,5.204795e-03,Kimura
22,21,1.965000e+03,5.537562e-03,Kimura
24,21,2.012200e+06,1.539095e+00,Kimura
28,21,1.742000e+06,3.232210e-01,Kimura
30,21,5.234000e+05,6.208826e-02,Kimura
34,21,1.293000e+06,1.223197e-01,Kimura
36,21,2.434600e+05,1.471981e-02,Kimura
40,21,8.758000e+05,6.057412e-02,Kimura
44,21,1.852200e+05,9.061562e-03,Kimura
26,22,3.023000e+05,8.567845e-02,Kimura
32,22,1.174000e+05,1.011982e-02,Kimura
38,22,6.183000e+04,3.328254e-03,Kimura
27,23,2.846000e+05,7.679068e-02,Kimura
33,23,1.141000e+05,9.657751e-03,Kimura
39,23,6.203000e+04,3.326977e-03,Kimura
43,23,3.778000e+04,1.508896e-03,Kimura
26,24,1.426359e+06,7.832239e-01,Kimura
32,24,5.602620e+05,4.534567e-02,Kimura
38,24,3.458300e+05,2.100587e-02,Kimura
42,24,1.632000e+05,2.318237e-02,Kimura
46,24,1.765000e+05,3.817038e-03,Kimura
27,25,1.430205e+06,7.133935e-01,Kimura
33,25,5.489155e+05,4.162382e-02,Kimura
39,25,3.251000e+05,1.763010e-02,Kimura
43,25,2.199000e+04,3.123653e-03,Kimura
47,25,1.854000e+05,4.009512e-03,Kimura
28,26,1.691000e+05,1.145959e+00,Kimura
30,26,8.070000e+05,1.544029e+00,Kimura
34,26,1.935000e+05,1.120935e-01,Kimura
36,26,2.641400e+05,8.616837e-02,Kimura
40,26,2.127000e+05,6.115071e-02,Kimura
44,26,1.223789e+07,8.651249e-01,Kimura
29,27,1.221000e+05,1.024840e+00,Kimura
31,27,7.902000e+05,1.712226e+00,Kimura
35,27,2.547000e+05,1.567045e-01,Kimura
37,27,2.525900e+05,8.705318e-02,Kimura
41,27,2.517000e+05,7.502656e-02,Kimura
45,27,2.169470e+04,7.749981e-03,Kimura
32,28,1.938000e+05,1.977943e-01,Kimura
38,28,8.720000e+04,2.430924e-02,Kimura
33,29,1.849000e+05,1.746854e-01,Kimura
39,29,8.592000e+04,2.356295e-02,Kimura
43,29,4.818000e+04,7.152302e-03,Kimura
32,30,7.081000e+05,2.879702e+00,Kimura
38,30,2.239560e+05,5.864157e-02,Kimura
42,30,7.400000e+03,4.078197e-03,Kimura
46,30,1.182000e+05,7.854779e-03,Kimura
33,31,1.822640e+05,1.616518e+00,Kimura
39,31,2.466200e+03,8.745415e-04,Kimura
43,31,3.373000e+03,1.831038e-03,Kimura
47,31,1.251000e+05,8.216359e-03,Kimura
34,32,7.285000e+04,1.469038e+00,Kimura
36,32,3.475000e+05,1.795643e+00,Kimura
40,32,4.015000e+04,6.704703e-02,Kimura
44,32,1.424200e+05,6.157643e-02,Kimura
35,33,5.468000e+04,1.440177e+00,Kimura
37,33,3.437000e+05,1.998730e+00,Kimura
41,33,5.699000e+04,1.008915e-01,Kimura
45,33,1.258700e+05,5.080678e-02,Kimura
38,34,1.113000e+05,3.172017e-01,Kimura
39,35,1.089000e+05,2.946498e-01,Kimura
43,35,5.220000e+04,3.118328e-02,Kimura
38,36,3.127900e+05,3.228989e+00,Kimura
42,36,1.827000e+04,4.491204e-02,Kimura
46,36,9.800000e+04,1.863409e-02,Kimura
39,37,3.174700e+05,3.253206e+00,Kimura
43,37,4.208000e+02,1.034427e-03,Kimura
47,37,1.027000e+05,1.952777e-02,Kimura
40,38,4.031000e+04,2.458559e+00,Kimura
44,38,1.714900e+05,3.181935e-01,Kimura
41,39,3.355000e+04,2.236510e+00,Kimura
45,39,1.743400e+05,3.260882e-01,Kimura
43,41,6.156000e+04,2.326367e-01,Kimura
44,42,0.000000e+00,7.189971e-01,Kimura
45,43,0.000000e+00,6.533271e-01,Kimura
46,44,2.761000e+04,2.071289e-01,Kimura
47,45,1.247000e+03,9.354936e-03,Kimura
49,45,3.301028e+04,3.669094e-01,Hydrogenic
51,45,1.609472e+04,1.219222e-01,Hydrogenic
53,45,9.047343e+03,5.687780e-02,Hydrogenic
55,45,5.525420e+03,3.183108e-02,Hydrogenic
57,45,3.588490e+03,1.994100e-02,Hydrogenic
59,45,2.418031e+03,1.348362e-02,Hydrogenic
61,45,1.693909e+03,9.632023e-03,Hydrogenic
63,45,1.219706e+03,7.170665e-03,Hydrogenic
65,45,8.958321e+02,5.512485e-03,Hydrogenic
48,46,5.819493e+04,2.817334e+00,Hydrogenic
50,46,2.113731e+04,3.976527e-01,Hydrogenic
52,46,1.055602e+04,1.310995e-01,Hydrogenic
54,46,6.042155e+03,6.079791e-02,Hydrogenic
56,46,3.773256e+03,3.387365e-02,Hydrogenic
58,46,2.469621e+03,2.114971e-02,Hydrogenic
60,46,1.696569e+03,1.426526e-02,Hydrogenic
62,46,1.203683e+03,1.017166e-02,Hydrogenic
64,46,8.729957e+02,7.562363e-03,Hydrogenic
49,47,5.819493e+04,2.817334e+00,Hydrogenic
51,47,2.113731e+04,3.976527e-01,Hydrogenic
53,47,1.055602e+04,1.310995e-01,Hydrogenic
55,47,6.042155e+03,6.079791e-02,Hydrogenic
57,47,3.773256e+03,3.387365e-02,Hydrogenic
59,47,2.469621e+03,2.114971e-02,Hydrogenic
61,47,1.696569e+03,1.426526e-02,Hydrogenic
63,47,1.203683e+03,1.017166e-02,Hydrogenic
65,47,8.729957e+02,7.562363e-03,Hydrogenic
50,48,3.617834e+04,3.062465e+00,Hydrogenic
52,48,1.362779e+04,4.283682e-01,Hydrogenic
54,48,6.946837e+03,1.402527e-01,Hydrogenic
56,48,4.082290e+03,6.469708e-02,Hydrogenic
58,48,2.562882e+03,3.589794e-02,Hydrogenic
60,48,1.714959e+03,2.234240e-02,Hydrogenic
62,48,1.193676e+03,1.503281e-02,Hydrogenic
64,48,8.520974e+02,1.069887e-02,Hydrogenic
51,49,3.617834e+04,3.062465e+00,Hydrogenic
53,49,1.362779e+04,4.283682e-01,Hydrogenic
55,49,6.946837e+03,1.402527e-01,Hydrogenic
57,49,4.082290e+03,6.469708e-02,Hydrogenic
59,49,2.562882e+03,3.589794e-02,Hydrogenic
61,49,1.714959e+03,2.234240e-02,Hydrogenic
63,49,1.193676e+03,1.503281e-02,Hydrogenic
65,49,8.520974e+02,1.069887e-02,Hydrogenic
52,50,2.396906e+04,3.307573e+00,Hydrogenic
54,50,9.146810e+03,4.590643e-01,Hydrogenic
56,50,4.795851e+03,1.493889e-01,Hydrogenic
58,50,2.813878e+03,6.858124e-02,Hydrogenic
60,50,1.810557e+03,3.790899e-02,Hydrogenic
62,50,1.226686e+03,2.352337e-02,Hydrogenic
64,50,8.570814e+02,1.578996e-02,Hydrogenic
53,51,2.396906e+04,3.307573e+00,Hydrogenic
55,51,9.146810e+03,4.590643e-01,Hydrogenic
57,51,4.795851e+03,1.493889e-01,Hydrogenic
59,51,2.813878e+03,6.858124e-02,Hydrogenic
61,51,1.810557e+03,3.790899e-02,Hydrogenic
63,51,1.226686e+03,2.352337e-02,Hydrogenic
65,51,8.570814e+02,1.578996e-02,Hydrogenic
54,52,1.608348e+04,3.552666e+00,Hydrogenic
56,52,6.384768e+03,4.897464e-01,Hydrogenic
58,52,3.310150e+03,1.585126e-01,Hydrogenic
60,52,2.002124e+03,7.245437e-02,Hydrogenic
62,52,1.304375e+03,3.991021e-02,Hydrogenic
64,52,8.849250e+02,2.469555e-02,Hydrogenic
55,53,1.608348e+04,3.552666e+00,Hydrogenic
57,53,6.384768e+03,4.897464e-01,Hydrogenic
59,53,3.310150e+03,1.585126e-01,Hydrogenic
61,53,2.002124e+03,7.245437e-02,Hydrogenic
63,53,1.304375e+03,3.991021e-02,Hydrogenic
65,53,8.849250e+02,2.469555e-02,Hydrogenic
56,54,1.162771e+04,3.797747e+00,Hydrogenic
58,54,4.426069e+03,5.204182e-01,Hydrogenic
60,54,2.387577e+03,1.676271e-01,Hydrogenic
62,54,1.460435e+03,7.631921e-02,Hydrogenic
64,54,9.487180e+02,4.190398e-02,Hydrogenic
57,55,1.162771e+04,3.797747e+00,Hydrogenic
59,55,4.426069e+03,5.204182e-01,Hydrogenic
61,55,2.387577e+03,1.676271e-01,Hydrogenic
63,55,1.460435e+03,7.631921e-02,Hydrogenic
65,55,9.487180e+02,4.190398e-02,Hydrogenic
58,56,7.554968e+03,4.042819e+00,Hydrogenic
60,56,3.146280e+03,5.510821e-01,Hydrogenic
62,56,1.725495e+03,1.767345e-01,Hydrogenic
64,56,1.049504e+03,8.017769e-02,Hydrogenic
59,57,7.554968e+03,4.042819e+00,Hydrogenic
61,57,3.146280e+03,5.510821e-01,Hydrogenic
63,57,1.725495e+03,1.767345e-01,Hydrogenic
65,57,1.049504e+03,8.017769e-02,Hydrogenic
60,58,5.933315e+03,4.287885e+00,Hydrogenic
62,58,2.413343e+03,5.817401e-01,Hydrogenic
64,58,1.286637e+03,1.858365e-01,Hydrogenic
61,59,5.933315e+03,4.287885e+00,Hydrogenic
63,59,2.413343e+03,5.817401e-01,Hydrogenic
65,59,1.286637e+03,1.858365e-01,Hydrogenic
62,60,4.386146e+03,4.532946e+00,Hydrogenic
64,60,1.723121e+03,6.123933e-01,Hydrogenic
63,61,4.386146e+03,4.532946e+00,Hydrogenic
65,61,1.723121e+03,6.123933e-01,Hydrogenic
64,62,2.977240e+03,4.778002e+00,Hydrogenic
65,63,2.977240e+03,4.778002e+00,Hydrogenic
