lower_n,upper_n,excitation_energy,alpha,equation
1,2,11.5480,6.700000e-02,2
1,4,11.7230,9.500000e-03,2
1,12,13.8840,1.500000e-01,2
1,13,13.9940,9.000000e-02,2
2,3,0.0760,1.000000e+00,0
2,4,0.1750,1.000000e-01,0
2,5,0.2800,1.000000e-01,0
2,8,1.7470,1.000000e-01,0
2,9,1.7800,1.000000e-01,0
2,19,3.1420,1.000000e-01,0
2,24,3.6570,1.000000e-01,0
2,30,3.9130,1.000000e-01,0
2,36,4.0520,1.000000e-01,0
2,44,4.2210,1.000000e-01,0
2,46,4.2530,1.000000e-01,0
3,4,0.0990,1.000000e-01,0
3,5,0.2040,1.000000e-01,0
3,8,1.6710,1.000000e-01,0
3,9,1.7040,1.000000e-01,0
3,11,1.8560,1.000000e-01,0
3,19,3.0660,1.000000e-01,0
3,24,3.5810,1.000000e-01,0
3,30,3.8370,1.000000e-01,0
3,36,3.9760,1.000000e-01,0
3,44,4.1450,1.000000e-01,0
3,46,4.1770,1.000000e-01,0
4,5,0.1050,1.000000e+00,1
4,6,1.1840,1.000000e-01,0
4,7,1.3930,1.000000e-01,0
4,18,2.7860,1.000000e-01,0
4,25,3.3050,1.000000e-01,0
4,31,3.5590,1.000000e-01,0
4,37,3.7000,1.000000e-01,0
4,45,3.8690,1.000000e-01,0
4,47,3.9010,1.000000e-01,0
5,6,1.0790,1.000000e-01,0
5,7,1.2880,1.000000e-01,0
5,10,1.4450,1.000000e-01,0
5,18,2.6810,1.000000e-01,0
5,25,3.2000,1.000000e-01,0
5,31,3.4540,1.000000e-01,0
5,37,3.5950,1.000000e-01,0
5,45,3.7640,1.000000e-01,0
5,47,3.7960,1.000000e-01,0
6,14,1.3220,1.000000e-01,0
6,15,1.3450,1.000000e-01,0
6,17,1.3970,1.000000e-01,0
6,21,2.0690,1.000000e-01,0
6,26,2.4170,1.000000e-01,0
6,32,2.6130,1.000000e-01,0
6,38,2.7290,1.000000e-01,0
6,42,2.8180,1.000000e-01,0
6,44,2.8620,1.000000e-01,0
6,46,2.8940,1.000000e-01,0
7,14,1.1130,1.000000e-01,0
7,15,1.1360,1.000000e-01,0
7,17,1.1880,1.000000e-01,0
7,21,1.8600,1.000000e-01,0
7,26,2.2080,1.000000e-01,0
7,32,2.4040,1.000000e-01,0
7,38,2.5200,1.000000e-01,0
7,42,2.6090,1.000000e-01,0
7,44,2.6530,1.000000e-01,0
7,46,2.6850,1.000000e-01,0
8,12,0.5890,1.000000e-01,0
8,13,0.6990,1.000000e-01,0
8,16,0.7950,1.000000e-01,0
8,20,1.4970,1.000000e-01,0
8,27,1.8580,1.000000e-01,0
8,33,2.0520,1.000000e-01,0
8,39,2.1650,1.000000e-01,0
8,43,2.2530,1.000000e-01,0
8,45,2.2970,1.000000e-01,0
8,47,2.3290,1.000000e-01,0
9,12,0.5560,1.000000e-01,0
9,16,0.7620,1.000000e-01,0
9,20,1.4640,1.000000e-01,0
9,27,1.8250,1.000000e-01,0
9,33,2.0190,1.000000e-01,0
9,39,2.1320,1.000000e-01,0
9,43,2.2200,1.000000e-01,0
9,45,2.2640,1.000000e-01,0
9,47,2.2960,1.000000e-01,0
10,15,0.9790,1.000000e-01,0
10,17,1.0310,1.000000e-01,0
10,21,1.7030,1.000000e-01,0
10,26,2.0510,1.000000e-01,0
10,32,2.2470,1.000000e-01,0
10,38,2.3630,1.000000e-01,0
10,42,2.4520,1.000000e-01,0
10,44,2.4960,1.000000e-01,0
10,46,2.5280,1.000000e-01,0
11,12,0.4040,1.000000e-01,0
11,16,0.6100,1.000000e-01,0
11,20,1.3120,1.000000e-01,0
11,27,1.6730,1.000000e-01,0
11,33,1.8670,1.000000e-01,0
11,39,1.9800,1.000000e-01,0
11,43,2.0680,1.000000e-01,0
11,45,2.1120,1.000000e-01,0
11,47,2.1440,1.000000e-01,0
12,19,0.8060,1.000000e-01,0
12,22,1.1990,1.000000e-01,0
12,24,1.3210,1.000000e-01,0
12,28,1.5090,1.000000e-01,0
12,30,1.5770,1.000000e-01,0
12,34,1.6760,1.000000e-01,0
12,36,1.7160,1.000000e-01,0
12,40,1.7750,1.000000e-01,0
12,42,1.8410,1.000000e-01,0
12,44,1.8850,1.000000e-01,0
12,46,1.9170,1.000000e-01,0
13,19,0.6960,1.000000e-01,0
13,22,1.0890,1.000000e-01,0
13,24,1.2110,1.000000e-01,0
13,28,1.3990,1.000000e-01,0
13,30,1.4670,1.000000e-01,0
13,34,1.5660,1.000000e-01,0
13,36,1.6060,1.000000e-01,0
13,40,1.6650,1.000000e-01,0
13,42,1.7310,1.000000e-01,0
13,44,1.7750,1.000000e-01,0
13,46,1.8070,1.000000e-01,0
14,18,0.2800,1.000000e-01,0
14,23,0.6770,1.000000e-01,0
14,25,0.7990,1.000000e-01,0
14,29,0.9860,1.000000e-01,0
14,31,1.0530,1.000000e-01,0
14,35,1.1530,1.000000e-01,0
14,37,1.1940,1.000000e-01,0
14,41,1.2530,1.000000e-01,0
14,43,1.3190,1.000000e-01,0
14,45,1.3630,1.000000e-01,0
14,47,1.3950,1.000000e-01,0
15,18,0.2570,1.000000e-01,0
15,25,0.7760,1.000000e-01,0
15,31,1.0300,1.000000e-01,0
15,37,1.1710,1.000000e-01,0
15,45,1.3400,1.000000e-01,0
15,47,1.3720,1.000000e-01,0
16,19,0.6000,1.000000e-01,0
16,22,0.9930,1.000000e-01,0
16,24,1.1150,1.000000e-01,0
16,28,1.3030,1.000000e-01,0
16,30,1.3710,1.000000e-01,0
16,34,1.4700,1.000000e-01,0
16,36,1.5100,1.000000e-01,0
16,40,1.5690,1.000000e-01,0
16,42,1.6350,1.000000e-01,0
16,44,1.6790,1.000000e-01,0
16,46,1.7110,1.000000e-01,0
17,18,0.2050,1.000000e-01,0
17,23,0.6020,1.000000e-01,0
17,25,0.7240,1.000000e-01,0
17,29,0.9110,1.000000e-01,0
17,31,0.9780,1.000000e-01,0
17,35,1.0780,1.000000e-01,0
17,37,1.1190,1.000000e-01,0
17,41,1.1780,1.000000e-01,0
17,43,1.2440,1.000000e-01,0
17,45,1.2880,1.000000e-01,0
17,47,1.3200,1.000000e-01,0
18,21,0.4670,1.000000e-01,0
18,26,0.8150,1.000000e-01,0
18,32,1.0110,1.000000e-01,0
18,38,1.1270,1.000000e-01,0
18,42,1.2160,1.000000e-01,0
18,44,1.2600,1.000000e-01,0
18,46,1.2920,1.000000e-01,0
19,20,0.1020,1.000000e-01,0
19,27,0.4630,1.000000e-01,0
19,33,0.6570,1.000000e-01,0
19,39,0.7700,1.000000e-01,0
19,43,0.8580,1.000000e-01,0
19,45,0.9020,1.000000e-01,0
19,47,0.9340,1.000000e-01,0
20,22,0.2910,1.000000e-01,0
20,24,0.4130,1.000000e-01,0
20,28,0.6010,1.000000e-01,0
20,30,0.6690,1.000000e-01,0
20,34,0.7680,1.000000e-01,0
20,36,0.8080,1.000000e-01,0
20,40,0.8670,1.000000e-01,0
20,42,0.9330,1.000000e-01,0
20,44,0.9770,1.000000e-01,0
20,46,1.0090,1.000000e-01,0
21,25,0.0520,1.000000e-01,0
21,29,0.2390,1.000000e-01,0
21,31,0.3060,1.000000e-01,0
21,35,0.4060,1.000000e-01,0
21,37,0.4470,1.000000e-01,0
21,41,0.5060,1.000000e-01,0
21,43,0.5720,1.000000e-01,0
21,45,0.6160,1.000000e-01,0
21,47,0.6480,1.000000e-01,0
22,27,0.0700,1.000000e-01,0
22,29,0.1320,1.000000e-01,0
22,33,0.2640,1.000000e-01,0
22,35,0.2990,1.000000e-01,0
22,39,0.3770,1.000000e-01,0
22,41,0.3990,1.000000e-01,0
22,43,0.4650,1.000000e-01,0
22,45,0.5090,1.000000e-01,0
22,47,0.5410,1.000000e-01,0
23,21,0.0700,1.000000e-01,0
23,26,0.4180,1.000000e-01,0
23,28,0.4870,1.000000e-01,0
23,32,0.6140,1.000000e-01,0
23,34,0.6540,1.000000e-01,0
23,38,0.7300,1.000000e-01,0
23,40,0.7530,1.000000e-01,0
23,42,0.8190,1.000000e-01,0
23,44,0.8630,1.000000e-01,0
23,46,0.8950,1.000000e-01,0
24,33,0.1420,1.000000e-01,0
24,39,0.2550,1.000000e-01,0
24,43,0.3430,1.000000e-01,0
24,45,0.3870,1.000000e-01,0
24,47,0.4190,1.000000e-01,0
25,26,0.2960,1.000000e-01,0
25,32,0.4920,1.000000e-01,0
25,38,0.6080,1.000000e-01,0
25,42,0.6970,1.000000e-01,0
25,44,0.7410,1.000000e-01,0
25,46,0.7730,1.000000e-01,0
26,35,0.0580,1.000000e-01,0
26,37,0.0990,1.000000e-01,0
26,41,0.1580,1.000000e-01,0
26,43,0.2240,1.000000e-01,0
26,45,0.2680,1.000000e-01,0
26,47,0.3000,1.000000e-01,0
27,24,0.0520,1.000000e-01,0
27,28,0.2400,1.000000e-01,0
27,30,0.3080,1.000000e-01,0
27,34,0.4070,1.000000e-01,0
27,36,0.4470,1.000000e-01,0
27,40,0.5060,1.000000e-01,0
27,42,0.5720,1.000000e-01,0
27,44,0.6160,1.000000e-01,0
27,46,0.6480,1.000000e-01,0
28,39,0.0670,1.000000e-01,0
28,41,0.0890,1.000000e-01,0
28,43,0.1550,1.000000e-01,0
28,45,0.1990,1.000000e-01,0
28,47,0.2310,1.000000e-01,0
29,26,0.1090,1.000000e-01,0
29,28,0.1780,1.000000e-01,0
29,32,0.3050,1.000000e-01,0
29,34,0.3450,1.000000e-01,0
29,38,0.4210,1.000000e-01,0
29,40,0.4440,1.000000e-01,0
29,42,0.5100,1.000000e-01,0
29,44,0.5540,1.000000e-01,0
29,46,0.5860,1.000000e-01,0
30,43,0.0870,1.000000e-01,0
30,45,0.1310,1.000000e-01,0
30,47,0.1630,1.000000e-01,0
31,26,0.0420,1.000000e-01,0
31,32,0.2380,1.000000e-01,0
31,38,0.3540,1.000000e-01,0
31,42,0.4430,1.000000e-01,0
31,44,0.4870,1.000000e-01,0
31,46,0.5190,1.000000e-01,0
32,43,0.0280,1.000000e-01,0
32,45,0.0720,1.000000e-01,0
32,47,0.1040,1.000000e-01,0
33,28,0.0460,1.000000e-01,0
33,30,0.1140,1.000000e-01,0
33,34,0.2130,1.000000e-01,0
33,36,0.2530,1.000000e-01,0
33,40,0.3120,1.000000e-01,0
33,42,0.3780,1.000000e-01,0
33,44,0.4220,1.000000e-01,0
33,46,0.4540,1.000000e-01,0
34,45,0.0320,1.000000e-01,0
34,47,0.0640,1.000000e-01,0
35,28,0.0110,1.000000e-01,0
35,32,0.1380,1.000000e-01,0
35,34,0.1780,1.000000e-01,0
35,38,0.2540,1.000000e-01,0
35,40,0.2770,1.000000e-01,0
35,42,0.3430,1.000000e-01,0
35,44,0.3870,1.000000e-01,0
35,46,0.4190,1.000000e-01,0
36,47,0.0240,1.000000e-01,0
37,32,0.0970,1.000000e-01,0
37,38,0.2130,1.000000e-01,0
37,42,0.3020,1.000000e-01,0
37,44,0.3460,1.000000e-01,0
37,46,0.3780,1.000000e-01,0
39,30,0.0010,1.000000e-01,0
39,34,0.1000,1.000000e-01,0
39,36,0.1400,1.000000e-01,0
39,40,0.1990,1.000000e-01,0
39,42,0.2650,1.000000e-01,0
39,44,0.3090,1.000000e-01,0
39,46,0.3410,1.000000e-01,0
41,32,0.0380,1.000000e-01,0
41,34,0.0780,1.000000e-01,0
41,38,0.1540,1.000000e-01,0
41,40,0.1770,1.000000e-01,0
41,42,0.2430,1.000000e-01,0
41,44,0.2870,1.000000e-01,0
41,46,0.3190,1.000000e-01,0
43,34,0.0120,1.000000e-01,0
43,36,0.0520,1.000000e-01,0
43,38,0.0880,1.000000e-01,0
43,40,0.1110,1.000000e-01,0
43,42,0.1770,1.000000e-01,0
43,44,0.2210,1.000000e-01,0
43,46,0.2530,1.000000e-01,0
45,36,0.0080,1.000000e-01,0
45,38,0.0440,1.000000e-01,0
45,40,0.0670,1.000000e-01,0
45,42,0.1330,1.000000e-01,0
45,44,0.1770,1.000000e-01,0
45,46,0.2090,1.000000e-01,0
47,38,0.0120,1.000000e-01,0
47,40,0.0350,1.000000e-01,0
47,42,0.1010,1.000000e-01,0
47,44,0.1450,1.000000e-01,0
47,46,0.1770,1.000000e-01,0
