obs_wl_vac(nm),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""706.9167""","=""3.8e+06""","=""2.85e-02""",B,"=""11.54835442""","=""13.30222747""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",5,5,,
"=""707.0685""","=""2.0e+06""","=""9.0e-03""",D+,"=""13.09487256""","=""14.84836899""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",5,3,,
"=""710.9437""","=""4.5e+05""","=""3.4e-03""",D+,"=""13.09487256""","=""14.83881100""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",5,5,,
"=""712.7784""","=""6.0e+05""","=""4.6e-03""",D+,"=""13.28263902""","=""15.02208834""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",3,3,,
"=""714.9012""","=""6.3e+05""","=""2.87e-03""",B,"=""11.54835442""","=""13.28263902""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",5,3,,
"=""716.0812""","=""2.1e+06""","=""5.4e-03""",D+,"=""13.28263902""","=""15.0140655""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",3,1,,
"=""720.8966""","=""2.48e+06""","=""1.16e-02""",C,"=""13.30222747""","=""15.02208834""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",5,3,,
"=""726.7174""","=""1.7e+05""","=""1.3e-03""",D,"=""13.15314387""","=""14.859230""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",3,3,,
"=""727.2667""","=""1.1e+05""","=""8.7e-04""",D,"=""13.07571571""","=""14.780512""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""",7,7,,
"=""727.4940""","=""1.83e+06""","=""1.45e-02""",B+,"=""11.62359272""","=""13.32785705""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""731.3731""","=""1.7e+06""","=""1.4e-02""",D+,"=""13.15314387""","=""14.84836899""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",3,3,,
"=""731.8021""","=""9.6e+05""","=""7.7e-03""",D+,"=""13.32785705""","=""15.02208834""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",3,3,,
"=""735.2839""","=""1.2e+06""","=""3.2e-03""",D+,"=""13.32785705""","=""15.0140655""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",3,1,,
"=""735.5319""","=""9.6e+05""","=""1.1e-02""",D+,"=""13.09487256""","=""14.780512""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""",5,7,,
"=""737.4149""","=""1.9e+06""","=""2.0e-02""",D+,"=""13.07571571""","=""14.7570516""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""",7,9,,
"=""738.6014""","=""8.5e+06""","=""1.15e-01""",B,"=""11.62359272""","=""13.30222747""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""739.5016""","=""7.2e+05""","=""3.5e-03""",D+,"=""13.17177770""","=""14.84836899""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",5,3,,
"=""741.4379""","=""3.9e+05""","=""5.4e-03""",D+,"=""13.28263902""","=""14.95485204""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",3,5,,
"=""742.7339""","=""3.1e+05""","=""3.6e-03""",D,"=""13.30222747""","=""14.97152236""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""",5,7,,
"=""743.7416""","=""9.0e+05""","=""7.5e-03""",D+,"=""13.17177770""","=""14.83881100""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",5,5,,
"=""743.8345""","=""2.7e+05""","=""1.6e-03""",D,"=""13.07571571""","=""14.74254085""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",7,5,,
"=""750.5935""","=""4.5e+07""","=""1.25e-01""",B,"=""11.82807116""","=""13.47988682""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""",3,1,,
"=""751.6721""","=""4.0e+07""","=""1.14e-01""",B,"=""11.62359272""","=""13.27303810""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""",3,1,,
"=""763.7208""","=""2.45e+07""","=""2.14e-01""",B,"=""11.54835442""","=""13.17177770""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",5,5,,
"=""772.5887""","=""5.2e+06""","=""2.78e-02""",B+,"=""11.54835442""","=""13.15314387""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",5,3,,
"=""772.6333""","=""1.17e+07""","=""3.14e-01""",B+,"=""11.72316039""","=""13.32785705""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",1,3,,
"=""789.3246""","=""9.5e+05""","=""8.9e-03""",C,"=""13.17177770""","=""14.74254085""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",5,5,,
"=""795.0362""","=""1.86e+07""","=""5.3e-01""",B,"=""11.72316039""","=""13.28263902""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",1,3,,
"=""800.8359""","=""4.9e+06""","=""7.9e-02""",C+,"=""11.62359272""","=""13.17177770""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""801.6990""","=""9.3e+06""","=""8.9e-02""",B,"=""11.54835442""","=""13.09487256""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",5,5,,
"=""805.5523""","=""8.6e+05""","=""5.0e-03""",C,"=""13.17177770""","=""14.71089810""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",5,3,,
"=""810.5921""","=""2.50e+07""","=""2.46e-01""",B+,"=""11.62359272""","=""13.15314387""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",3,3,,
"=""811.7542""","=""3.3e+07""","=""4.6e-01""",B,"=""11.54835442""","=""13.07571571""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""",5,7,,
"=""826.6794""","=""1.53e+07""","=""1.57e-01""",B+,"=""11.82807116""","=""13.32785705""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""841.0521""","=""2.23e+07""","=""3.94e-01""",B+,"=""11.82807116""","=""13.30222747""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""842.6963""","=""2.15e+07""","=""3.81e-01""",B+,"=""11.62359272""","=""13.09487256""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",3,5,,
"=""852.3783""","=""1.39e+07""","=""1.51e-01""",B,"=""11.82807116""","=""13.28263902""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",3,3,,
"=""860.8140""","=""1.04e+06""","=""1.16e-02""",C,"=""13.30222747""","=""14.74254085""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",5,5,,
"=""867.0325""","=""2.43e+06""","=""8.2e-02""",B,"=""11.72316039""","=""13.15314387""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",1,3,,
"=""907.7885""","=""1.2e+06""","=""4.9e-03""",D,"=""13.32785705""","=""14.6936397""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""",3,1,,
"=""912.5471""","=""1.89e+07""","=""1.42e-01""",B,"=""11.54835442""","=""12.90701530""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",5,3,,
"=""919.7161""","=""1.76e+06""","=""2.23e-02""",C,"=""12.90701530""","=""14.2550856""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",3,3,,
"=""922.7030""","=""5.0e+06""","=""1.07e-01""",B,"=""11.82807116""","=""13.17177770""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",3,5,,
"=""929.4081""","=""3.26e+06""","=""1.41e-02""",C,"=""12.90701530""","=""14.2410277""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,
"=""935.6787""","=""1.06e+06""","=""1.39e-02""",B,"=""11.82807116""","=""13.15314387""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",3,3,,
"=""966.0435""","=""5.4e+06""","=""7.6e-02""",B,"=""11.62359272""","=""12.90701530""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""978.7186""","=""1.47e+06""","=""3.5e-02""",B,"=""11.82807116""","=""13.09487256""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",3,5,,
"=""1047.2923""","=""9.8e+05""","=""4.8e-02""",C+,"=""11.72316039""","=""12.90701530""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",1,3,,
"=""1048.0905""","=""2.44e+06""","=""4.02e-02""",C,"=""12.90701530""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",3,3,,
"=""1050.938""","=""1.58e+06""","=""3.66e-02""",C,"=""13.9034546""","=""15.0832027""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",5,7,,
"=""1067.6489""","=""4.9e+06""","=""1.4e-01""",D,"=""12.90701530""","=""14.0682977""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",3,5,,
"=""1108.1903""","=""8.3e+05""","=""1.5e-02""",C,"=""13.09487256""","=""14.2136715""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",5,5,,
"=""1144.4965""","=""1.39e+06""","=""1.64e-02""",C,"=""13.17177770""","=""14.2550856""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",5,3,,
"=""1149.1254""","=""1.9e+05""","=""3.8e-03""",C,"=""11.82807116""","=""12.90701530""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",3,3,,
"=""1167.1904""","=""3.76e+06""","=""7.68e-02""",C,"=""13.17177770""","=""14.2340226""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
"=""1172.2696""","=""9.52e+05""","=""1.18e-02""",C,"=""13.09487256""","=""14.1525151""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",5,3,,
"=""1211.5641""","=""3.1e+06""","=""6.8e-02""",D,"=""13.07571571""","=""14.0990559""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",7,7,,
"=""1214.3060""","=""4.5e+06""","=""9.9e-02""",D,"=""13.28263902""","=""14.3036684""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",3,3,,
"=""1234.6770""","=""2.0e+06""","=""6.4e-02""",D,"=""13.09487256""","=""14.0990559""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""",5,7,,
"=""1240.6221""","=""1.1e+07""","=""2.5e-01""",D,"=""13.15314387""","=""14.1525151""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",3,3,,
"=""1244.2724""","=""4.9e+06""","=""1.9e-01""",D,"=""12.90701530""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",3,5,,
"=""1245.953""","=""8.9e+06""","=""1.2e-01""",D,"=""13.09487256""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",5,3,,
"=""1249.1080""","=""1.1e+07""","=""1.8e-01""",D,"=""13.07571571""","=""14.0682977""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",7,5,,
"=""1270.5756""","=""7.1e+06""","=""1.7e-01""",D,"=""13.32785705""","=""14.3036684""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",3,3,,
"=""1273.6901""","=""1.1e+06""","=""2.7e-02""",D,"=""13.09487256""","=""14.0682977""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",5,5,,
"=""1274.9719""","=""2.0e+06""","=""4.9e-02""",D,"=""13.28263902""","=""14.2550856""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",3,3,,
"=""1280.6241""","=""5.7e+06""","=""1.4e-01""",D,"=""13.09487256""","=""14.0630272""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",5,5,,
"=""1293.6733""","=""1.0e+07""","=""8.4e-02""",D,"=""13.28263902""","=""14.2410277""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,
"=""1296.0203""","=""7.4e+06""","=""1.9e-01""",D,"=""12.90701530""","=""13.8636686""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",3,3,,
"=""1301.1822""","=""8.9e+06""","=""1.4e-01""",D,"=""13.30222747""","=""14.2550856""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",5,3,,
"=""1321.760""","=""8.1e+06""","=""7.1e-02""",D,"=""12.90701530""","=""13.8450385""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",3,1,,
"=""1323.452""","=""4.6e+06""","=""1.2e-01""",D,"=""13.15314387""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",3,3,,
"=""1327.627""","=""1.5e+07""","=""5.5e-01""",D,"=""13.30222747""","=""14.2361061""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",5,7,,
"=""1331.6851""","=""1.3e+07""","=""5.8e-01""",D,"=""13.28263902""","=""14.2136715""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",3,5,,
"=""1350.310""","=""2.7e+06""","=""4.4e-02""",D,"=""13.17177770""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",5,3,,
"=""1350.7884""","=""1.1e+07""","=""4.2e-01""",D,"=""13.09487256""","=""14.0127381""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",5,7,,
"=""1357.7329""","=""5.1e+06""","=""4.7e-02""",D,"=""13.32785705""","=""14.2410277""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,
"=""1360.3052""","=""2.2e+06""","=""6.1e-02""",D,"=""13.30222747""","=""14.2136715""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",5,5,,
"=""1362.6384""","=""7.3e+06""","=""3.4e-01""",D,"=""13.15314387""","=""14.0630272""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",3,5,,
"=""1368.2290""","=""6.2e+06""","=""2.9e-01""",D,"=""13.32785705""","=""14.2340226""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",3,5,,
"=""1382.9495""","=""3.3e+06""","=""9.5e-02""",D,"=""13.17177770""","=""14.0682977""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",5,5,,
"=""1409.7493""","=""4.3e+06""","=""3.8e-01""",D,"=""13.27303810""","=""14.1525151""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""1505.061""","=""5.2e+06""","=""5.3e-01""",D,"=""13.47988682""","=""14.3036684""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",1,3,,
"=""1517.684""","=""1.3e+06""","=""1.3e-01""",D,"=""13.27303810""","=""14.0899685""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",1,3,,
"=""1533.353""","=""1.2e+05""","=""4.2e-03""",E,"=""13.09487256""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
"=""1599.386""","=""1.9e+06""","=""2.2e-01""",D,"=""13.47988682""","=""14.2550856""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",1,3,,
"=""1652.437""","=""2.6e+05""","=""1.8e-02""",D,"=""13.15314387""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",3,5,,
"=""1694.521""","=""2.5e+06""","=""1.1e-01""",D,"=""13.17177770""","=""13.9034546""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
"=""2062.186""","=""3.9e+05""","=""2.5e-02""",D,"=""13.30222747""","=""13.9034546""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",5,5,,
"=""2313.951""","=""1.7e+05""","=""1.4e-02""",D,"=""13.32785705""","=""13.8636686""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",3,3,,
"=""2397.306""","=""3.6e+05""","=""1.0e-02""",D,"=""13.32785705""","=""13.8450385""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""",3,1,,