n,designation,energy_ev,g,transition_type,alpha,beta,xi_ion,alpha_ion,beta_ion
1,3p6,0.000,1,,,,6,0.51,1.00
2,4s[3/2]2,11.548,5,S,6.70e-2,,1,0.35,4.00
3,4s[3/2]1,11.624,3,A,1.92e-2,4.00,1,0.35,4.00
4,4s'[1/2]0,11.723,1,S,9.50e-3,,1,0.35,4.00
5,4s'[1/2]1,11.828,3,A,4.62e-2,4.00,1,0.35,4.00
6,4p[1/2]1,12.907,3,P,3.50e-2,,1,0.45,4.00
7,"4p[3/2]1,2, [5/2]2,3",13.116,20,P,1.15e-1,,1,0.39,4.00
8,"4p'[3/2]1,2",13.295,8,P,3.50e-2,,1,0.39,4.00
9,4p'[1/2]1,13.328,3,P,7.00e-3,,1,0.39,4.00
10,4p[1/2]0,13.273,1,P,7.00e-3,,1,0.32,4.00
11,4p'[1/2]0,13.480,1,P,3.50e-2,,1,0.32,4.00
12,"3d[1/2]0,1, [3/2]2",13.884,9,S,1.50e-1,,1,0.67,1.00
13,"3d[7/2]3,4",13.994,16,S,9.00e-2,,1,0.67,1.00
14,"3d'[3/2]2, [5/2]2,3",14.229,17,P,4.20e-2,,1,0.67,1.00
15,5s',14.252,4,A,3.71e-3,4.00,1,0.67,1.00
16,"3d[3/2]1, [5/2]2,3 + 5s",14.090,23,A,3.33e-2,4.00,1,0.67,1.00
17,3d'[3/2]1,14.304,3,A,1.79e-2,2.00,1,0.67,1.00
18,5p,14.509,24,P,7.00e-2,,1,0.67,1.00
19,5p',14.690,12,P,5.00e-2,,1,0.67,1.00
20,4d + 6s,14.792,48,A,5.15e-2,1.00,1,0.67,1.00
21,4d' + 6s',14.976,24,A,3.06e-2,1.00,1,0.67,1.00
22,4f',15.083,28,,,,1,0.67,1.00
23,4f,14.906,56,,,,1,0.67,1.00
24,6p',15.205,12,,,,1,0.67,1.00
25,6p,15.028,24,,,,1,0.67,1.00
26,5d' + 7s',15.324,24,A,6.50e-4,1.00,1,0.67,1.00
27,5d + 7s,15.153,48,A,3.69e-2,1.00,1,0.67,1.00
28,"5f', g'",15.393,64,,,,1,0.67,1.00
29,"5f, g",15.215,128,,,,1,0.67,1.00
30,7p',15.461,12,,,,1,0.67,1.00
31,7p,15.282,24,,,,1,0.67,1.00
32,6d' + 8s',15.520,24,,,,1,0.67,1.00
33,6d + 8s,15.347,48,A,2.40e-2,1.00,1,0.67,1.00
34,"6f', g', h'",15.560,108,,,,1,0.67,1.00
35,"6f, g, h",15.382,216,,,,1,0.67,1.00
36,8p',15.600,12,,,,1,0.67,1.00
37,8p,15.423,24,,,,1,0.67,1.00
38,7d' + 9s',15.636,24,,,,1,0.67,1.00
39,7d + 9s,15.460,48,,,,1,0.67,1.00
40,"7f', g', h', i'",15.659,160,,,,1,0.67,1.00
41,"7f, g, h, i",15.482,320,,,,1,0.67,1.00
42,"8d', f', ...",15.725,240,,,,1,0.67,1.00
43,"8d, f, ...",15.548,480,,,,1,0.67,1.00
44,"9p', d', f', ...",15.769,320,,,,1,0.67,1.00
45,"9p, d, f, ...",15.592,640,,,,1,0.67,1.00
46,n_pqn = 10',15.801,400,,,,1,0.67,1.00
47,n_pqn = 10,15.624,800,,,,1,0.67,1.00
48,n_pqn = 11',15.825,484,,,,1,0.67,1.00
49,n_pqn = 11,15.648,968,,,,1,0.67,1.00
50,n_pqn = 12',15.843,576,,,,1,0.67,1.00
51,n_pqn = 12,15.666,1152,,,,1,0.67,1.00
52,n_pqn = 13',15.857,676,,,,1,0.67,1.00
53,n_pqn = 13,15.680,1352,,,,1,0.67,1.00
54,n_pqn = 14',15.868,784,,,,1,0.67,1.00
55,n_pqn = 14,15.691,1568,,,,1,0.67,1.00
56,n_pqn = 15',15.877,900,,,,1,0.67,1.00
57,n_pqn = 15,15.700,1800,,,,1,0.67,1.00
58,n_pqn = 16',15.884,1024,,,,1,0.67,1.00
59,n_pqn = 16,15.707,2048,,,,1,0.67,1.00
60,n_pqn = 17',15.890,1156,,,,1,0.67,1.00
61,n_pqn = 17,15.713,2312,,,,1,0.67,1.00
62,n_pqn = 18',15.895,1296,,,,1,0.67,1.00
63,n_pqn = 18,15.718,2592,,,,1,0.67,1.00
64,n_pqn = 19',15.899,1444,,,,1,0.67,1.00
65,n_pqn = 19,15.722,2888,,,,1,0.67,1.00